"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 성동구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"83","서울특별시 성동구 응봉동","15","0015","0000","대림강변타운","59.7600","202512","13","165,000","104","12","개인","개인","2001","고산자로 160","-","중개거래","서울 성동구","26.03.05"
"84","서울특별시 성동구 성수동1가","656-320","0656","0320","동아","96.1800","202512","11","299,000","11","8","개인","개인","1983","왕십리로 80","-","중개거래","서울 성동구","26.04.15"
"85","서울특별시 성동구 하왕십리동","992","0992","0000","무학현대","84.6750","202512","11","108,000","101","3","개인","개인","1996","무학봉길 49","-","중개거래","경기 평택시, 서울 성북구, 서울 중구","26.03.30"
"86","서울특별시 성동구 사근동","199","0199","0000","중앙하이츠","71.8500","202512","10","76,000","101","7","개인","개인","1989","사근동길 65","-","중개거래","서울 성동구","26.02.25"
"87","서울특별시 성동구 성수동2가","279-50","0279","0050","성수1차대우아파트","59.4900","202512","09","70,500","-","5","개인","개인","1999","동일로 143","-","중개거래","서울 광진구","26.02.24"
"88","서울특별시 성동구 송정동","90","0090","0000","건영","59.8300","202512","09","88,500","102","9","개인","개인","2000","동일로 263","-","중개거래","서울 성동구","26.01.15"
"89","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.9600","202512","09","243,000","114","5","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구, 서울 송파구","26.03.16"
"90","서울특별시 성동구 행당동","349","0349","0000","서울숲 한신 더 휴","59.9400","202512","09","159,000","117","13","개인","개인","2003","고산자로 164","-","중개거래","서울 성동구","26.02.23"
"91","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","59.9600","202512","09","145,500","114","5","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","26.02.06"
"92","서울특별시 성동구 하왕십리동","1058","1058","0000","극동미라주","84.3300","202512","09","135,000","103","5","개인","개인","2001","난계로 73","-","중개거래","서울 성동구","26.02.27"
"93","서울특별시 성동구 하왕십리동","258","0258","0000","벽산","84.9400","202512","09","144,500","106","4","개인","개인","1996","무학로 50","-","중개거래","서울 성동구","26.02.20"
"94","서울특별시 성동구 하왕십리동","1058","1058","0000","극동미라주","114.6300","202512","09","120,000","101","1","개인","개인","2001","난계로 73","-","중개거래","서울 성동구","26.03.06"
"95","서울특별시 성동구 성수동2가","286","0286","0000","성수우방2차아파트","59.8200","202512","09","104,500","-","14","개인","개인","1999","성수일로10길 3","-","중개거래","서울 성동구","26.02.27"
"96","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.2500","202512","07","229,000","105","14","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구, 인천 연수구","26.02.10"
"97","서울특별시 성동구 송정동","104","0104","0000","서울숲아이파크","84.8800","202512","07","126,000","105","9","개인","개인","2009","동일로 237","-","중개거래","서울 성동구","26.02.02"
"98","서울특별시 성동구 성수동1가","706","0706","0000","쌍용","59.7600","202512","06","183,800","109","7","개인","개인","1997","상원길 63","-","중개거래","서울 성동구","26.02.27"
"99","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.9900","202512","06","227,000","-","9","개인","개인","2016","왕십리로 410","20260220","중개거래","서울 성동구","-"
"100","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","59.9600","202512","06","152,000","122","6","개인","개인","2000","행당로 79","-","중개거래","서울 성동구","26.02.24"
"101","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","84.7100","202512","06","178,000","102","7","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","26.03.06"
"102","서울특별시 성동구 응봉동","100","0100","0000","대림(1차)","63.1800","202512","06","178,000","11","7","개인","개인","1986","독서당로62길 43","-","중개거래","서울 성동구","26.02.20"
"103","서울특별시 성동구 하왕십리동","1061","1061","0000","왕십리풍림아이원","59.9360","202512","06","134,500","110","4","개인","개인","2004","난계로 84","-","중개거래","서울 성동구","26.03.24"
"104","서울특별시 성동구 사근동","199","0199","0000","중앙하이츠","71.8500","202512","06","75,000","102","7","개인","개인","1989","사근동길 65","-","중개거래","서울 성동구","26.03.27"
"105","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.9900","202512","06","227,000","118","9","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","26.02.05"
